Main City,Name,Address,City,Postal Code,Longitude,Latitude,Description,Approx Price (€),Time Allotted,Types,Image
Paris,Musée Rodin,77 Rue de Varenne,Paris,75007,2.3195,48.8561,Museum dedicated to the works of French sculptor Auguste Rodin,13,,Museum|Art|Sculpture,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Le_mus%C3%A9e_Rodin.jpg/500px-Le_mus%C3%A9e_Rodin.jpg
Paris,Centre Pompidou,Place Georges-Pompidou,Paris,75004,2.3522,48.8607,"Complex building in the Beaubourg area, housing the Public Information Library and the National Museum of Modern Art",15 (Museum & Exhibitions),,Museum|Art|Architecture,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Le_logo_du_Centre_Pompidou_redessin%C3%A9_en_2019_%285_bandes%29.svg/500px-Le_logo_du_Centre_Pompidou_redessin%C3%A9_en_2019_%285_bandes%29.svg.png
Paris,Tuileries Garden,Place de la Concorde,Paris,75001,2.3216,48.8641,Public garden located between the Louvre Museum and the Place de la Concorde,Free,,Park|Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Crowd_in_the_Jardin_des_Tuileries%2C_Paris_July_2014.jpg/500px-Crowd_in_the_Jardin_des_Tuileries%2C_Paris_July_2014.jpg
Paris,Musée de l'Orangerie,Jardin Tuileries,Paris,75001,2.3216,48.8633,Art gallery of impressionist and post-impressionist paintings,12.5,,Museum|Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Mus%C3%A9e_de_l%E2%80%99Orangerie_exterior.JPG/500px-Mus%C3%A9e_de_l%E2%80%99Orangerie_exterior.JPG
Paris,Catacombs of Paris,1 Avenue du Colonel Henri Rol-Tanguy,Paris,75014,2.3322,48.834,Underground ossuaries holding the remains of millions of Parisians,29 (with audioguide),,History|Unusual,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Catacumbas%2C_Par%C3%ADs%2C_Francia%2C_2022-11-01%2C_DD_105-107_HDR.jpg/500px-Catacumbas%2C_Par%C3%ADs%2C_Francia%2C_2022-11-01%2C_DD_105-107_HDR.jpg
Paris,Place de la Concorde,,Paris,75008,2.319,48.8656,"Largest public square in Paris, at the eastern end of the Champs-Élysées",Free,,Landmark|History,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Place_de_la_Concorde_from_the_Eiffel_Tower%2C_Paris_April_2011.jpg/500px-Place_de_la_Concorde_from_the_Eiffel_Tower%2C_Paris_April_2011.jpg
Paris,Champs-Élysées,Avenue des Champs-Élysées,Paris,75008,2.309,48.8693,"Famous avenue, home to many luxury shops, cafés, and theaters",Free (to walk),,Shopping|Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Avenue_des_Champs-%C3%89lys%C3%A9es_July_24%2C_2009_N1.jpg/500px-Avenue_des_Champs-%C3%89lys%C3%A9es_July_24%2C_2009_N1.jpg
Paris,Picasso Museum,5 Rue de Thorigny,Paris,75003,2.3642,48.861,Museum dedicated to the work of Spanish artist Pablo Picasso,14,,Museum|Art,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q5qGDtwkGDJBPIq0Wit9cGj521VJh5Z25kdA9qUwYPdeG5VWRyxQ2p5m3wLd_LN7lVoWsfPOrzVKHOXYXK9CR0_7GRpmqYziZLg9sflAcdHZ6RzBymOiFlorjjtCsFyy985da8S6yi8NrOASZjPD0q4XKugSfMdLJePpFE-bfuwJQZJ&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Paris,Opéra Garnier,Place de l'Opéra,Paris,75009,2.332,48.8713,"1,979-seat opera house, famous for its opulence and architecture",14,,Architecture|Entertainment,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q7tI8yJdYjqryf4wZRyJ5MjsQBwqw62bp8JP7nbOW3T8Un9njhQRy5CdpFqI7Nafc5Ys50r_qOxjlZHL_S6ZijVMUAXCTPT2XA-8CNCC1W1P6oPkWOJuYvfQQ7Xyvt9wDF1x12_y-r1gLOhfLX3tbXLXikGSTPh8F9GK1D8CO8rjAIB&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Paris,Île de la Cité,,Paris,75004,2.3473,48.8534,"Island in the Seine river, historical heart of Paris",Free (to walk),,History|Landmark,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/%C3%8Ele_de_la_Cit%C3%A9_shortly_before_sunrise%2C_West_View_140320_1.jpg/500px-%C3%8Ele_de_la_Cit%C3%A9_shortly_before_sunrise%2C_West_View_140320_1.jpg
Brussels,Grand Place,,Brussels,1000,4.3517,50.8467,"Central square of Brussels, surrounded by opulent guildhalls and two larger edifices",Free,,Landmark|Architecture|History|Kevin's Pick,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q4onAh6z4dD-CrSXY2wW9PmmjrROsJY4GuAMoISpmqvkZaJfwgr0ggDaPQNDcaUDpEqGjKw2HsS_rjZ-kevNVIt9kAx2a9I4CsPXDO_i-NSd5F06mq1UKTNRdc0pO3yYFHwvQ_LINZX_t1vfRVsxa19BvI2ANXwvV6ehaFHcx8UC6JV&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Brussels,Atomium,Square de l'Atomium,Brussels,1020,4.375,50.8947,"Landmark building originally constructed for Expo 58, representing an iron crystal magnified 165 billion times",16 (adults),,Landmark|Architecture|Museum|Kevin's Pick,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Brussels_-_Atomium_2022.jpg/500px-Brussels_-_Atomium_2022.jpg
Brussels,Manneken Pis,Rue de l'Étuve,Brussels,1000,4.3498,50.8452,Landmark small bronze fountain sculpture depicting a puer mingens,Free,,Landmark|Unusual|Kevin's Pick,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Bruxelles_Manneken_Pis_cropped.jpg/500px-Bruxelles_Manneken_Pis_cropped.jpg
Brussels,Royal Palace of Brussels,Place des Palais,Brussels,1000,4.3575,50.8443,Official palace of the King and Queen of the Belgians,Free (gardens),,Landmark|Architecture|History|Kevin's Pick,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Brussel_Koninklijk_paleis.jpg/500px-Brussel_Koninklijk_paleis.jpg
Brussels,St. Michael and St. Gudula Cathedral,Place Sainte-Gudule,Brussels,1000,4.3606,50.8487,"Roman Catholic cathedral, seat of the Archdiocese of Mechelen-Brussels",Free,,Religious Site|Architecture|History|Kevin's Pick,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q4ywj1zB4YHIbg9xm2DzhKyiQ-O6_6no5ZX5cl4DQfR15SkAw4DJukyhEgbLKMFgP6pKG2BEKa29nETpnflcWISPed4dgfm4KKd9y0SsTc3LflqUkYk1j2C4r9CpzhqImnAUOoESgh7oADH74thsPrRR6biL135UaMmC1dxGSOw-rMp&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Brussels,Mini-Europe,Bruparck,Brussels,1020,4.374,50.8955,Miniature park featuring reproductions of monuments in the European Union,17.50 (adults),,Museum|Art|History|Kevin's Pick,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Laeken_Mini_Europe_viewed_from_Atomium_3.jpg/500px-Laeken_Mini_Europe_viewed_from_Atomium_3.jpg
Brussels,Belgian Comic Strip Center,Rue des Sables 20,Brussels,1000,4.3656,50.8431,Museum dedicated to Belgian comics,12 (adults),,Museum|Art|Kevin's Pick,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Brussel_-_Zandstraat_20_-_Belgisch_Stripcentrum_in_het_voormalig_Waucquez-warenhuis_%281903_door_Victor_Horta%29_20230826.jpg/500px-Brussel_-_Zandstraat_20_-_Belgisch_Stripcentrum_in_het_voormalig_Waucquez-warenhuis_%281903_door_Victor_Horta%29_20230826.jpg
Brussels,Magritte Museum,Place Royale 1,Brussels,1000,4.3601,50.8431,Museum dedicated to the works of surrealist artist René Magritte,10 (adults),,Museum|Art|Kevin's Pick,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Mus%C3%A9e_Magritte%2C_Brussels%2C_in_June_2016.jpg/500px-Mus%C3%A9e_Magritte%2C_Brussels%2C_in_June_2016.jpg
Brussels,MIM (Musical Instruments Museum),Rue Montagne de la Cour 2,Brussels,1000,4.3552,50.8439,"Museum housing a collection of over 8,000 musical instruments from around the world",12 (adults),,Museum|Art|History,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q4zshhygNMFt_1tDZNYvEuQFUQCyV1e8M5vPW2UA0SqbrMuuVqrsG1WMqLpsYkSZWaajQmnT7JpXnH_EBZyqzsckQkjGBNZKiKkjzKYYLEpPINkACqZGMrdllBssQlpVDIFPRmNbneRvhku2PI2lqbG0NRZFHUnLBBVVPvxTAdn0ks&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Brussels,Royal Museums of Fine Arts of Belgium,Rue de la Régence 3,Brussels,1000,4.3614,50.8406,"Group of art museums housing a collection of over 20,000 works",Varies by museum and exhibition,,Museum|Art|History,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Mus%C3%A9es_Royaux_des_Beaux-Arts_Belgique_1101.jpg/500px-Mus%C3%A9es_Royaux_des_Beaux-Arts_Belgique_1101.jpg
Brussels,Cinquantenaire Park,Avenue de la Renaissance 3,Brussels,1000,4.3889,50.8458,"Large public, urban park, home to the Cinquantenaire triumphal arch",Free,,Park|Nature,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q6pM26CBD5RsIB-6quFvFY_xfXWfhPfFKmpb6wCajBMzmV8Nx21VkPyryIAvce2AlSJbmTM2HKfMShsFiAFqHx28Y8KwVqLtrgM69-KfowkYW5-lEwgrKMYmFyucKKwfFIU70pQYd_ZJ70MdgldEJAWCA7t98sNOc1SEsPjg74rKGFg&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Brussels,Mont des Arts,,Brussels,1000,4.3589,50.8439,Complex of gardens and public spaces between the Place Royale and the Place de l'Albertine,Free,,Landmark|Architecture|History,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Brussels_view_from_Mont_des_Arts%2C_Brussels%2C_Belgium_%28cropped%29.jpg/500px-Brussels_view_from_Mont_des_Arts%2C_Brussels%2C_Belgium_%28cropped%29.jpg
Brussels,Parlamentarium,Rue Wiertz,Brussels,1047,4.3792,50.8414,Visitors' centre of the European Parliament,Free,,Museum|Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Parlamentarium_-_Parlement_europ%C3%A9en_-_Je_suis_Nice.jpg/500px-Parlamentarium_-_Parlement_europ%C3%A9en_-_Je_suis_Nice.jpg
Brussels,Belgian Chocolate Village,Rue Neckersgat 9,Koekelberg,1081,4.3239,50.8619,Museum dedicated to Belgian chocolate,13 (adults),,Museum|History|Military,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q4fzkWduJqtgxquX0P08vUPmQFNp1LAGorfgC6El1Lh3iGigOtO3AWFHuERutpTwhAkdRgIJs6h45yI5uvF2JD_ULTb-ed9La7v8_xE4s9NvGUxocJ2xNj8c6ptR4o34KVz7AHuj42cqB-MTbS4EAhBPfxbcYH-u4UO2qA61CrRH6F9&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Brussels,Autoworld Brussels,Parc du Cinquantenaire 11,Brussels,1000,4.3889,50.845,Automobile museum showcasing over 250 vehicles,13 (adults),,Museum|Transportation,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q4JwlhcwmYUT_B83ewDsVFXLW43eIWUJw2nCtSKkOvVOKhPWWVq__Zh0V5aeTVuVVOfW6gUztwF4bLp4O2ZQLLaXwby89QiV4HejfsRTwfoM1WGUuqxxWKJmmO88Ojjs9OkZllR8gPbimhlOyuuoFYyxLpGny-3DgPBkNJsG-EUaqeq&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Brussels,Basilica of the Sacred Heart,Parvis de la Basilique 1,Koekelberg,1083,4.3175,50.8603,Roman Catholic minor basilica and Art Deco style church,Free,,Religious Site|Architecture,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Le_sacre_coeur.jpg/500px-Le_sacre_coeur.jpg
Brussels,Train World,Place Princesse Élisabeth 5,Schaerbeek,1030,4.3789,50.8653,Railway museum showcasing the history of rail transport in Belgium,14 (adults),,Museum|Transportation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Logo-TrainWorld.jpg/500px-Logo-TrainWorld.jpg
Brussels,Royal Greenhouses of Laeken,Avenue du Parc Royal,Brussels,1020,4.3586,50.8869,"Complex of monumental heated greenhouses, open to the public only a few weeks a year",3 (adults),,Palace|Gardens|History,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Laeken_Greenhouses.jpg/500px-Laeken_Greenhouses.jpg
Brussels,Coudenberg Palace Archaeological Site,Place des Palais 7,Brussels,1000,4.3575,50.8441,Archaeological remains of the former Palace of Coudenberg,10 (adults),,Museum|History|Architecture,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q5sQ0DYb8D2JsP6RaYltm8Ic6gYoverWSJIMO9p0ecpzncpAiep0XdYAXWbRTYn_akmfiL40vnPj_MNT2-lsNaW7OlN5ijHhCUTcrZOy3LLPYZt5Cp2JnySva9AgtBHsrcgq4-fVjjhGayQnemkRmj52NEwBc3VpYeM_1oQTY8Nw0fK&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Brussels,Museum of Natural Sciences,Rue Vautier 29,Brussels,1000,4.3667,50.8372,"Museum with a vast collection of natural history specimens, including dinosaur skeletons",13 (adults),,Museum|Science|Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Mus%C3%A9um_des_Sciences_naturelles_de_Belgique_%28entr%C3%A9e%29.JPG/500px-Mus%C3%A9um_des_Sciences_naturelles_de_Belgique_%28entr%C3%A9e%29.JPG
Amsterdam,Rijksmuseum,Museumstraat 1,Amsterdam,1071 XX,4.8852,52.3599,"The Dutch National Museum, home to masterpieces by Rembrandt, Vermeer, and more.",22.5,,Museum|Art|History,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/South_facade_of_the_Rijksmuseum_Amsterdam_%28DSCF0528%29.jpg/500px-South_facade_of_the_Rijksmuseum_Amsterdam_%28DSCF0528%29.jpg
Amsterdam,Van Gogh Museum,Museumplein 6,Amsterdam,1071 DJ,4.881,52.3584,The world's largest collection of Van Gogh's art.,20,,Museum|Art|History,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Logo_-_Van_Gogh_Museum.png/500px-Logo_-_Van_Gogh_Museum.png
Amsterdam,Anne Frank House,Prinsengracht 263-267,Amsterdam,1016 GV,4.8842,52.3753,The hiding place of Anne Frank and her family during World War II.,14,,Museum|History|Architecture,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Amsterdam_%28NL%29%2C_Anne-Frank-Huis_--_2015_--_7185.jpg/500px-Amsterdam_%28NL%29%2C_Anne-Frank-Huis_--_2015_--_7185.jpg
Amsterdam,Vondelpark,Vondelpark,Amsterdam,,4.8724,52.3579,"Amsterdam's largest park, perfect for picnics, cycling, and relaxation.",Free,,Park|Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Amsterdam%2C_Vondelpark%2C_at_the_pond-2.jpg/500px-Amsterdam%2C_Vondelpark%2C_at_the_pond-2.jpg
Amsterdam,Jordaan,Jordaan,Amsterdam,,4.8911,52.3739,"A charming neighborhood with narrow streets, canals, and independent shops.",Free,,Neighborhood|Culture,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Eerste_Leliedwarsstraat.jpg/500px-Eerste_Leliedwarsstraat.jpg
Amsterdam,Canal Cruise,Various departure points,Amsterdam,,,,See the city from the water on a relaxing canal cruise.,16-25,,Entertainment|Cultural Experience,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q4c2a5G8RmQFhRVG4n1AVI42S_VkRQ7ErQ2VHQRgqvtQhtgSehQHDAoIstxqhV8e6YHd2DZvTp6q3rgwHIs5pO-aeC_8ib3GZqpAdsxTAc9hbl-Tm8EA8eevCVMmfdo_QoJ_Mxnj_3bMtv-ogxfM1qNHGvu2uxr6Yu66PcrvvyAqD2o&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Amsterdam,Royal Palace Amsterdam,Dam Square,Amsterdam,1012 JL,4.8913,52.3731,The official reception palace of the Dutch Royal Family.,12.5,,Palace|History|Architecture,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q6BMdx8GpcYu-KIbtqR86VYQzmCtKF4VzR28uyJhb4J3CAwIURT79mPBNn8Cox1QHu8Wv7bQOxgN6aSJtdyqBlzp9L-BiS76bo3rk2NM-NsOkNk8xxQyGFXhC2nx9nt1ISZC3iAnB8uWrnthtXC1HtDcuM54WlrJKDOMAWZ3JN2_jla&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Amsterdam,Albert Cuyp Market,Albert Cuypstraat,Amsterdam,1073 BD,4.8977,52.3541,A large outdoor market with a wide variety of goods.,Free,,Market|Culture|Shopping,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Albert_Cuypmarkt.jpg/500px-Albert_Cuypmarkt.jpg
Amsterdam,Heineken Experience,Stadhouderskade 78,Amsterdam,1072 AE,4.8904,52.3637,Learn about the history of Heineken beer and enjoy a tasting.,21,,Museum|Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Former_Heineken_Brewery_in_Amsterdam.jpg/500px-Former_Heineken_Brewery_in_Amsterdam.jpg
Amsterdam,Amsterdam Museum,Kalverstraat 92,Amsterdam,1012 PH,4.8927,52.3703,Discover the history of Amsterdam from the Middle Ages to the present day.,15,,Museum|History|Culture,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Ingang_Amsterdam_Museum.jpg/500px-Ingang_Amsterdam_Museum.jpg
Amsterdam,Rembrandt House Museum,Jodenbreestraat 4,Amsterdam,1011 NK,4.901,52.3694,The former home and studio of the famous painter Rembrandt.,15,,Museum|Art|History,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Rembrandshuis.jpg/500px-Rembrandshuis.jpg
Amsterdam,EYE Filmmuseum,IJpromenade 1,Amsterdam,1031 KT,4.902,52.3872,A museum dedicated to film and the moving image.,12.5,,Museum|Film|Culture,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q5_KX6edYfSw8_Ybu2BgG8z2x2qMmdcen4jUEvaZ8VNDLfrsSRXJg23jl8hokc0AzsHsu7NBVFwtJh5-XKJ9a10KFsEv_Xhu-0NJFFQGDUeyPcyxhLCltOlcW-7npubmvH-f7F_mYeDMKDKC484NzwLhzUaH0zpJokqRE0NBt_srESJ&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Amsterdam,NEMO Science Museum,Oosterdok 2,Amsterdam,1011 VX,4.9034,52.3766,A science museum with interactive exhibits for all ages.,17.5,,Science Museum|Interactive,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q7STEgCOEOCfK1eaHsX7nj2XeoO_6PUHoful5k3gqQPGdiq8J-Fr31Y8kI-ZfvqiTfrAb7JHYb-FbtNNAbVBEI9lx0IeiIhuF_bIBCe5kcFo8VoJlI6-QiMonhpszqhjIdYqeli9KP_zI-rY8cRWCrZrJlzEvZWNJo1w8DZz34YFTjM&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Amsterdam,Artis Royal Zoo,Plantage Kerklaan 38-40,Amsterdam,1018 CZ,4.9117,52.3667,"One of the oldest zoos in Europe, home to a variety of animals.",25,,Zoo|Nature,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q4CI1t4DlW5-k2z87mmu0f9Q9JMRdjSWfz8-SJrAdEgMCYw0pMNN9EBOn_u6cM-VWqkDs2B9pVUo1AIV3iGHHajTpXe_r6rv3VHNCDUGB9k0D9EFpA_SB1rq5E3uzu7rWCh3K4GXGWU1nz448vHjRu3-oqRxsGljQCZlgxxOK_kaMtl&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Amsterdam,Begijnhof,Begijnhof 30,Amsterdam,1012 WS,4.8895,52.3717,A peaceful courtyard with historic houses and a hidden church.,Free,,Historic Site|Architecture,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q5csYpQThhyoa12c5LftczB0UAJ-54zbpbOVdkRlV89k9kBIzzMPGGKAKeO0382s0CasjzNWYNqg7uqfK8oX8vo-I-qUQpTTqVLVoNQ0M5SCfnkrnC83VbyoyU34o6G_egcOft4ZG01Jp48iG5FF6Bj35bA3bjk2gn73F1CAGVX6wAE&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Amsterdam,The 9 Streets,"Between Singel, Herengracht, Keizersgracht and Prinsengracht",Amsterdam,,4.8901,52.3708,A charming shopping area with unique boutiques and vintage stores.,Free,,Shopping|Culture,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q6ASyDsVUs5pweh_zjzx_Ys5BgqNbkVGAs1w7K00jANkRKZkqFEkNRsRZ8PkClUKjrmHIvz09PhJDtw3NjDARHVHOTnHoFVQgBdDkWR5lWpT3vdJQ6TzsMWcG3A3BU7pPjlM2oiebUPLgmmOY4olgO9o6dlBbj5iDuYGwKG3ge2552n&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Amsterdam,A'DAM Lookout,Overhoeksplein 5,Amsterdam,1031 KS,4.9012,52.3868,Enjoy panoramic views of the city from this observation deck.,15,,Observation Deck|City Views,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q7tzJKpSgk6dA1QWjx-wI8RH7mgQ53ErGLLVwQYhfku0pJnNTTmsT-xLXEnNcRVxn4K2SEaEtxRai8wDqSkcAZhOlV0qKnbBhpY936iovt_tSpkwNNdTe0d68o0A4Yyx7VEC79CX4entMIdsKIF0wTrEynaB7PbTjImsAtmgSL3Vaab&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Amsterdam,Bloemenmarkt,Singel,Amsterdam,1012 DH,4.8921,52.3696,A floating flower market on the Singel canal.,Free,,Market|Shopping,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SingelBloemenmarkt.jpg/500px-SingelBloemenmarkt.jpg
Amsterdam,Westerkerk,Prinsengracht 279,Amsterdam,1016 GW,4.8834,52.3757,A 17th-century church with a distinctive tower.,Free,,Religious Site|Architecture,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Amsterdam_%28NL%29%2C_Westerkerk_--_2015_--_7186.jpg/500px-Amsterdam_%28NL%29%2C_Westerkerk_--_2015_--_7186.jpg
